,num_airplane,sref,velocity,alpha
14173,4,1.0,25,18
4585,2,0.5,185,-6
3844,1,1.5,55,-18
7562,2,1.5,120,-16
5084,2,0.5,80,-16
18,1,0.5,100,16
10342,3,1.0,45,0
15347,4,1.5,45,14
12354,4,0.5,30,-8
7379,2,1.5,180,-4
2302,1,1.0,145,6
3626,1,1.5,265,8
7243,2,1.5,150,18
6300,2,1.0,310,-20
3113,1,1.5,300,-10
6228,2,1.0,275,4
6626,2,1.0,315,2
14857,4,1.0,195,0
12779,4,0.5,205,2
8687,3,0.5,220,8
6633,2,1.0,25,16
8255,3,0.5,10,-16
3497,1,1.5,270,2
11919,3,1.5,130,4
594,1,0.5,55,-8
13323,4,0.5,325,-2
16214,4,1.5,155,-16
4043,1,1.5,75,2
5298,2,0.5,175,-8
5439,2,0.5,230,-20
7857,2,1.5,295,-14
13344,4,0.5,105,-2
1112,1,0.5,45,20
3326,1,1.5,65,-4
6513,2,1.0,75,-14
325,1,0.5,10,0
6902,2,1.5,70,8
13016,4,0.5,90,14
817,1,0.5,195,18
15191,4,1.5,240,-4
12857,4,0.5,270,-10
5116,2,0.5,240,6
2628,1,1.0,150,-14
12979,4,0.5,230,-18
12610,4,0.5,10,0
8949,3,0.5,230,-14
2969,1,1.5,230,-4
11336,3,1.5,140,14
15037,4,1.5,120,-18
10072,3,1.0,320,6
4246,2,0.5,115,-12
9859,3,1.0,230,0
7145,2,1.5,310,-10
9888,3,1.0,50,16
13476,4,0.5,115,10
14367,4,1.0,20,-14
16088,4,1.5,175,-16
11072,3,1.5,120,-10
4699,2,0.5,105,12
5825,2,1.0,210,-4
3948,1,1.5,250,-20
13186,4,0.5,290,18
15794,4,1.5,330,-16
45,1,0.5,235,-14
2086,1,1.0,40,-6
15613,4,1.5,75,0
7663,2,1.5,300,18
14171,4,1.0,15,14
10100,3,1.0,135,20
15764,4,1.5,180,8
13450,4,0.5,310,0
7754,2,1.5,105,-10
218,1,0.5,125,-4
10103,3,1.0,150,-16
15462,4,1.5,295,-8
12054,3,1.5,155,-20
4403,2,0.5,250,8
6128,2,1.0,100,14
6596,2,1.0,165,-16
12710,4,0.5,185,-10
14870,4,1.0,260,-16
8175,2,1.5,260,-8
15438,4,1.5,175,-14
15574,4,1.5,205,6
6583,2,1.0,100,0
15563,4,1.5,150,-16
4510,2,0.5,135,12
14962,4,1.0,70,0
14509,4,1.0,80,18
10916,3,1.0,315,14
15937,4,1.5,70,18
8384,3,0.5,330,-10
12751,4,0.5,65,-12
9071,3,0.5,190,20
2880,1,1.5,110,-14
1404,1,1.0,205,16
5565,2,1.0,210,-20
11962,3,1.5,20,6
2381,1,1.0,215,-4
11791,3,1.5,140,0
1731,1,1.0,215,-2
12149,3,1.5,305,2
2970,1,1.5,235,-2
14356,4,1.0,290,6
1606,1,1.0,240,0
9337,3,0.5,220,6
6956,2,1.5,15,-10
2052,1,1.0,195,10
12076,3,1.5,265,-18
157,1,0.5,145,0
8593,3,0.5,75,-12
12203,3,1.5,250,-16
3435,1,1.5,285,4
9795,3,1.0,235,-2
6307,2,1.0,20,-6
15365,4,1.5,135,8
5424,2,0.5,155,-8
13856,4,1.0,65,14
14446,4,1.0,90,18
14597,4,1.0,195,-16
1474,1,1.0,230,-12
3477,1,1.5,170,4
16097,4,1.5,220,2
768,1,0.5,275,4
7687,2,1.5,95,-18
1525,1,1.0,160,6
10012,3,1.0,20,12
5761,2,1.0,215,-6
11199,3,1.5,105,-8
14372,4,1.0,45,-4
1681,1,1.0,290,-18
14342,4,1.0,220,20
3473,1,1.5,150,-4
14715,4,1.0,135,10
9571,3,1.0,90,12
7172,2,1.5,120,2
13512,4,0.5,295,-2
5190,2,0.5,285,-14
10145,3,1.0,35,-16
7622,2,1.5,95,20
3761,1,1.5,290,-16
5647,2,1.0,295,18
1947,1,1.0,320,10
13070,4,0.5,35,-4
12807,4,0.5,20,16
9186,3,0.5,115,-2
5137,2,0.5,20,6
10380,3,1.0,235,-8
15944,4,1.5,105,-10
12383,4,0.5,175,8
5355,2,0.5,135,-20
9522,3,0.5,170,-2
7925,2,1.5,310,-4
13301,4,0.5,215,-4
9661,3,1.0,215,-18
13483,4,0.5,150,-18
6146,2,1.0,190,8
11548,3,1.5,225,18
10279,3,1.0,55,0
6364,2,1.0,305,-18
14914,4,1.0,155,-12
10085,3,1.0,60,-10
3048,1,1.5,300,-14
1264,1,0.5,155,-12
6180,2,1.0,35,-8
10654,3,1.0,305,-6
4736,2,0.5,290,2
9830,3,1.0,85,-16
15612,4,1.5,70,-2
14140,4,1.0,185,-6
7310,2,1.5,160,-16
5850,2,1.0,10,4
2382,1,1.0,220,-2
1176,1,0.5,40,-20
660,1,0.5,60,-2
14122,4,1.0,95,0
13507,4,0.5,270,-12
13259,4,0.5,330,-4
386,1,0.5,315,-4
1075,1,0.5,185,-12
3957,1,1.5,295,-2
6623,2,1.0,300,-4
12130,3,1.5,210,6
14570,4,1.0,60,14
3885,1,1.5,260,-20
9766,3,1.0,90,-18
10595,3,1.0,10,2
759,1,0.5,230,-14
873,1,0.5,150,4
8231,3,0.5,215,20
654,1,0.5,30,-14
13577,4,0.5,295,2
13496,4,0.5,215,8
292,1,0.5,170,18
2175,1,1.0,160,4
729,1,0.5,80,10
2855,1,1.5,310,20
14862,4,1.0,220,10
2229,1,1.0,105,-14
11931,3,1.5,190,-14
14302,4,1.0,20,-18
3754,1,1.5,255,12
9268,3,0.5,200,-6
8430,3,0.5,235,-2
5645,2,1.0,285,14
150,1,0.5,110,-14
13546,4,0.5,140,-18
8419,3,0.5,180,18
16252,4,1.5,20,18
6436,2,1.0,15,0
8054,2,1.5,305,2
13713,4,1.0,325,-20
10102,3,1.0,145,-18
3217,1,1.5,170,-12
12066,3,1.5,215,4
2986,1,1.5,315,-12
11264,3,1.5,105,-4
10006,3,1.0,315,0
12376,4,0.5,140,-6
13664,4,1.0,80,8
886,1,0.5,215,-12
6060,2,1.0,85,4
1399,1,1.0,180,6
7480,2,1.5,35,-12
11151,3,1.5,190,-20
15826,4,1.5,165,6
9710,3,1.0,135,-4
7154,2,1.5,30,8
690,1,0.5,210,16
14564,4,1.0,30,2
2624,1,1.0,130,20
2404,1,1.0,330,0
9232,3,0.5,20,6
1652,1,1.0,145,8
9377,3,0.5,95,2
7123,2,1.5,200,-12
9578,3,1.0,125,-16
14841,4,1.0,115,10
4414,2,0.5,305,-12
5759,2,1.0,205,-10
3116,1,1.5,315,-4
13897,4,1.0,270,12
10001,3,1.0,290,-10
9634,3,1.0,80,12
8531,3,0.5,90,-10
9833,3,1.0,100,-10
8286,3,0.5,165,4
12973,4,0.5,200,12
11278,3,1.5,175,-18
4504,2,0.5,105,0
6302,2,1.0,320,-16
5269,2,0.5,30,18
1894,1,1.0,55,-12
2342,1,1.0,20,2
5776,2,1.0,290,-18
11427,3,1.5,270,-14
9296,3,0.5,15,8
8324,3,0.5,30,-4
13293,4,0.5,175,-20
1909,1,1.0,130,18
6815,2,1.0,285,2
3994,1,1.5,155,-12
6934,2,1.5,230,-12
15916,4,1.5,290,18
13190,4,0.5,310,-16
5215,2,0.5,85,-6
11511,3,1.5,40,-14
9878,3,1.0,325,-4
10867,3,1.0,70,0
15456,4,1.5,265,-20
672,1,0.5,120,-20
14923,4,1.0,200,6
9146,3,0.5,240,2
5858,2,1.0,50,20
5119,2,0.5,255,12
3013,1,1.5,125,0
3470,1,1.5,135,-10
5489,2,1.0,155,-4
3892,1,1.5,295,-6
16220,4,1.5,185,-4
7478,2,1.5,25,-16
11747,3,1.5,245,-4
15004,4,1.0,280,0
3023,1,1.5,175,20
85,1,0.5,110,-18
12421,4,0.5,40,0
11119,3,1.5,30,0
3291,1,1.5,215,10
1223,1,0.5,275,-10
14889,4,1.0,30,-20
11065,3,1.5,85,18
7669,2,1.5,330,-12
11144,3,1.5,155,8
11288,3,1.5,225,2
12363,4,0.5,75,10
6889,2,1.5,330,-18
593,1,0.5,50,-10
7003,2,1.5,250,0
7134,2,1.5,255,10
16335,4,1.5,110,16
15817,4,1.5,120,-12
338,1,0.5,75,-16
4225,2,0.5,10,-12
2310,1,1.0,185,-20
8570,3,0.5,285,-16
323,1,0.5,325,-4
2252,1,1.0,220,-10
2588,1,1.0,275,-10
7234,2,1.5,105,0
15027,4,1.5,70,4
1777,1,1.0,120,6
10332,3,1.0,320,-20
9775,3,1.0,135,0
9732,3,1.0,245,-2
6148,2,1.0,200,12
2124,1,1.0,230,-14
13726,4,1.0,65,6
8014,2,1.5,105,6
2161,1,1.0,90,18
11441,3,1.5,15,14
15281,4,1.5,40,8
14550,4,1.0,285,16
105,1,0.5,210,-20
10830,3,1.0,210,10
11297,3,1.5,270,20
9870,3,1.0,285,-20
15884,4,1.5,130,-4
3933,1,1.5,175,-8
11157,3,1.5,220,-8
10620,3,1.0,135,10
12343,4,0.5,300,12
6635,2,1.0,35,20
3443,1,1.5,325,20
9886,3,1.0,40,12
377,1,0.5,270,20
4102,2,0.5,45,-6
3787,1,1.5,95,-6
12638,4,0.5,150,14
8457,3,0.5,45,10
8055,2,1.5,310,4
10947,3,1.5,145,-8
7160,2,1.5,60,20
1764,1,1.0,55,-20
14555,4,1.0,310,-16
6516,2,1.0,90,-8
554,1,0.5,180,-4
7929,2,1.5,330,4
15402,4,1.5,320,-2
12469,4,0.5,280,12
16230,4,1.5,235,16
8945,3,0.5,210,20
7352,2,1.5,45,-16
13663,4,1.0,75,6
12673,4,0.5,325,0
6298,2,1.0,300,18
923,1,0.5,75,20
7659,2,1.5,280,10
9842,3,1.0,145,8
5421,2,0.5,140,-14
12048,3,1.5,125,10
5760,2,1.0,210,-8
10666,3,1.0,40,18
7090,2,1.5,35,6
5736,2,1.0,90,-14
15947,4,1.5,120,-4
7342,2,1.5,320,6
11649,3,1.5,80,10
6170,2,1.0,310,14
8400,3,0.5,85,-20
9540,3,0.5,260,-8
10439,3,1.0,205,-16
9531,3,0.5,215,16
14180,4,1.0,60,-10
6675,2,1.0,235,16
15857,4,1.5,320,-16
508,1,0.5,275,-12
15185,4,1.5,210,-16
5590,2,1.0,10,-12
9147,3,0.5,245,4
12219,3,1.5,330,16
5218,2,0.5,100,0
11343,3,1.5,175,-14
10322,3,1.0,270,2
3837,1,1.5,20,10
2633,1,1.0,175,-4
3337,1,1.5,120,18
8607,3,0.5,145,16
13086,4,0.5,115,-14
12368,4,0.5,100,20
8729,3,0.5,105,8
7866,2,1.5,15,4
3775,1,1.5,35,12
4582,2,0.5,170,-12
12292,4,0.5,45,-6
1752,1,1.0,320,-2
14280,4,1.0,235,-20
1266,1,0.5,165,-8
8779,3,0.5,30,-18
16103,4,1.5,250,14
16309,4,1.5,305,6
8094,2,1.5,180,-2
13725,4,1.0,60,4
6511,2,1.0,65,-18
11276,3,1.5,165,20
12080,3,1.5,285,-10
754,1,0.5,205,18
6823,2,1.0,325,18
14093,4,1.0,275,-16
4726,2,0.5,240,-18
6489,2,1.0,280,-20
16290,4,1.5,210,10
6044,2,1.0,330,14
1546,1,1.0,265,6
4724,2,0.5,230,20
733,1,0.5,100,18
7662,2,1.5,295,16
6421,2,1.0,265,12
9662,3,1.0,220,-16
13646,4,0.5,315,14
13624,4,0.5,205,12
1494,1,1.0,330,-14
10549,3,1.0,105,-6
15697,4,1.5,170,0
8855,3,0.5,85,8
16362,4,1.5,245,-14
10427,3,1.0,145,2
8088,2,1.5,150,-14
2784,1,1.5,280,4
12587,4,0.5,220,-4
2089,1,1.0,55,0
7964,2,1.5,180,-10
910,1,0.5,10,-6
9067,3,0.5,170,12
9962,3,1.0,95,-4
10285,3,1.0,85,12
5171,2,0.5,190,-10
9430,3,0.5,35,-18
5063,2,0.5,300,-16
15744,4,1.5,80,10
10379,3,1.0,230,-10
11814,3,1.5,255,4
7567,2,1.5,145,-6
8989,3,0.5,105,-18
2658,1,1.0,300,4
12301,4,0.5,90,12
6492,2,1.0,295,-14
2488,1,1.0,100,0
2441,1,1.0,190,-10
3736,1,1.5,165,18
13642,4,0.5,295,6
1466,1,1.0,190,14
14829,4,1.0,55,-14
10202,3,1.0,320,14
13494,4,0.5,205,4
2952,1,1.5,145,4
12386,4,0.5,190,14
9707,3,1.0,120,-10
10939,3,1.5,105,18
6832,2,1.5,45,-6
1771,1,1.0,90,-6
11366,3,1.5,290,-10
9301,3,0.5,40,18
8617,3,0.5,195,-6
1647,1,1.0,120,-2
11688,3,1.5,275,4
5197,2,0.5,320,0
1480,1,1.0,260,0
3374,1,1.5,305,8
1317,1,0.5,95,10
351,1,0.5,140,10
9779,3,1.0,155,8
7581,2,1.5,215,-20
9507,3,0.5,95,10
15915,4,1.5,285,16
13317,4,0.5,295,-14
7307,2,1.5,145,20
6367,2,1.0,320,-12
14156,4,1.0,265,-16
11967,3,1.5,45,16
2822,1,1.5,145,-4
13421,4,0.5,165,-16
11870,3,1.5,210,-10
1804,1,1.0,255,18
16114,4,1.5,305,-6
1341,1,0.5,215,16
14433,4,1.0,25,-8
11903,3,1.5,50,14
16109,4,1.5,280,-16
548,1,0.5,150,-16
13227,4,0.5,170,16
3422,1,1.5,220,20
8278,3,0.5,125,-12
6744,2,1.0,255,-14
6776,2,1.0,90,8
9941,3,1.0,315,-4
10585,3,1.0,285,-18
16130,4,1.5,60,-16
3106,1,1.5,265,18
1620,1,1.0,310,-14
14898,4,1.0,75,-2
7798,2,1.5,325,-6
1401,1,1.0,190,10
1491,1,1.0,315,-20
7875,2,1.5,60,-20
11053,3,1.5,25,-6
7873,2,1.5,50,18
4098,2,0.5,25,-14
7803,2,1.5,25,4
16040,4,1.5,260,14
6838,2,1.5,75,6
14532,4,1.0,195,-20
11402,3,1.5,145,20
498,1,0.5,225,10
14001,4,1.0,140,10
14092,4,1.0,270,-18
15408,4,1.5,25,10
4781,2,0.5,190,8
11327,3,1.5,95,-4
15968,4,1.5,225,-4
8752,3,0.5,220,12
11142,3,1.5,145,4
7389,2,1.5,230,16
10405,3,1.0,35,0
3165,1,1.5,235,10
12514,4,0.5,180,18
3669,1,1.5,155,10
5148,2,0.5,75,-14
8910,3,0.5,35,-8
4570,2,0.5,110,6
1201,1,0.5,165,-12
14523,4,1.0,150,4
11290,3,1.5,235,6
3153,1,1.5,175,-14
5986,2,1.0,40,-18
15029,4,1.5,80,8
12254,3,1.5,180,2
8407,3,0.5,120,-6
8007,2,1.5,70,-8
12534,4,0.5,280,16
2763,1,1.5,175,4
5144,2,0.5,55,20
2460,1,1.0,285,-14
15638,4,1.5,200,8
15329,4,1.5,280,20
11643,3,1.5,50,-2
14312,4,1.0,70,2
8107,2,1.5,245,-18
3173,1,1.5,275,-16
1657,1,1.0,170,18
12729,4,0.5,280,-14
3207,1,1.5,120,10
11714,3,1.5,80,14
6980,2,1.5,135,-4
15008,4,1.0,300,8
3605,1,1.5,160,8
14545,4,1.0,260,6
15686,4,1.5,115,20
15253,4,1.5,225,-6
16003,4,1.5,75,-18
6138,2,1.0,150,-8
5966,2,1.0,265,-16
6283,2,1.0,225,-12
12953,4,0.5,100,14
13860,4,1.0,85,-20
2440,1,1.0,185,-12
3871,1,1.5,190,-6
4879,2,0.5,30,-6
11619,3,1.5,255,-8
10088,3,1.0,75,-4
1234,1,0.5,330,12
10967,3,1.5,245,-10
7797,2,1.5,320,-8
13297,4,0.5,195,-12
1387,1,1.0,120,-18
9315,3,0.5,110,4
14339,4,1.0,205,14
7464,2,1.5,280,-2
5708,2,1.0,275,14
864,1,0.5,105,-14
3803,1,1.5,175,-16
11719,3,1.5,105,-18
16186,4,1.5,15,12
12461,4,0.5,240,-4
10150,3,1.0,60,-6
6246,2,1.0,40,-2
8966,3,0.5,315,20
1820,1,1.0,10,8
8061,2,1.5,15,16
8192,3,0.5,20,-16
14485,4,1.0,285,12
1244,1,0.5,55,-10
5450,2,0.5,285,2
10238,3,1.0,175,2
15583,4,1.5,250,-18
15629,4,1.5,155,-10
12801,4,0.5,315,4
14775,4,1.0,110,4
4822,2,0.5,70,6
16167,4,1.5,245,16
5734,2,1.0,80,-18
2571,1,1.0,190,-2
5603,2,1.0,75,14
9820,3,1.0,35,6
9313,3,0.5,100,0
4725,2,0.5,235,-20
11738,3,1.5,200,20
12047,3,1.5,120,8
8532,3,0.5,95,-8
10609,3,1.0,80,-12
14542,4,1.0,245,0
15393,4,1.5,275,-20
11499,3,1.5,305,4
2707,1,1.0,220,18
6514,2,1.0,80,-12
12477,4,0.5,320,-14
2285,1,1.0,60,14
7042,2,1.5,120,-6
13465,4,0.5,60,-12
6697,2,1.0,20,18
7494,2,1.5,105,16
2764,1,1.5,180,6
5310,2,0.5,235,16
15939,4,1.5,80,-20
780,1,0.5,10,-14
9439,3,0.5,80,0
7967,2,1.5,195,-4
6721,2,1.0,140,-18
13985,4,1.0,60,20
16000,4,1.5,60,18
13969,4,1.0,305,-12
16053,4,1.5,325,-2
3945,1,1.5,235,16
43,1,0.5,225,-18
4644,2,0.5,155,-14
9134,3,0.5,180,20
5423,2,0.5,150,-10
6602,2,1.0,195,-4
1242,1,0.5,45,-14
8712,3,0.5,20,16
8320,3,0.5,10,-12
1694,1,1.0,30,8
1717,1,1.0,145,12
7604,2,1.5,330,-16
4182,2,0.5,120,-14
5142,2,0.5,45,16
14123,4,1.0,100,2
6195,2,1.0,110,-20
9426,3,0.5,15,16
8861,3,0.5,115,20
12720,4,0.5,235,10
8155,2,1.5,160,-6
12438,4,0.5,125,-8
5654,2,1.0,330,-10
14151,4,1.0,240,16
1913,1,1.0,150,-16
9520,3,0.5,160,-6
2915,1,1.5,285,14
449,1,0.5,305,-4
12520,4,0.5,210,-12
12672,4,0.5,320,-2
4657,2,0.5,220,12
7783,2,1.5,250,6
13509,4,0.5,280,-8
12373,4,0.5,125,-12
4966,2,0.5,140,0
8923,3,0.5,100,18
618,1,0.5,175,-2
5274,2,0.5,55,-14
13910,4,1.0,10,-4
5494,2,1.0,180,6
93,1,0.5,150,-2
4942,2,0.5,20,-6
15779,4,1.5,255,-4
6757,2,1.0,320,12
8694,3,0.5,255,-20
3766,1,1.5,315,-6
7943,2,1.5,75,-10
3998,1,1.5,175,-4
5873,2,1.0,125,8
4001,1,1.5,190,2
4437,2,0.5,95,-8
1330,1,0.5,160,-6
12068,3,1.5,225,8
8030,2,1.5,185,-4
3895,1,1.5,310,0
9332,3,0.5,195,-4
10075,3,1.0,10,12
1669,1,1.0,230,0
10625,3,1.0,160,20
12407,4,0.5,295,14
8158,2,1.5,175,0
8686,3,0.5,215,6
8082,2,1.5,120,16
7628,2,1.5,125,-10
9981,3,1.0,190,-8
11346,3,1.5,190,-8
13037,4,0.5,195,14
3203,1,1.5,100,2
8214,3,0.5,130,-14
942,1,0.5,170,16
14017,4,1.0,220,0
3746,1,1.5,215,-4
7358,2,1.5,75,-4
10697,3,1.0,195,-4
15595,4,1.5,310,6
5048,2,0.5,225,-4
1151,1,0.5,240,14
8896,3,0.5,290,6
3708,1,1.5,25,4
4918,2,0.5,225,-12
12770,4,0.5,160,-16
88,1,0.5,125,-12
4829,2,0.5,105,20
9834,3,1.0,105,-8
13657,4,1.0,45,-6
13556,4,0.5,190,2
12912,4,0.5,220,16
6143,2,1.0,175,2
13946,4,1.0,190,-16
5356,2,0.5,140,-18
2153,1,1.0,50,2
5406,2,0.5,65,-2
6847,2,1.5,120,-18
14891,4,1.0,40,-16
1926,1,1.0,215,10
431,1,0.5,215,2
14992,4,1.0,220,18
10134,3,1.0,305,4
10749,3,1.0,130,16
2360,1,1.0,110,-4
5319,2,0.5,280,-8
1709,1,1.0,105,-4
3559,1,1.5,255,0
15908,4,1.5,250,2
12640,4,0.5,160,18
2823,1,1.5,150,-2
16248,4,1.5,325,10
15886,4,1.5,140,0
1608,1,1.0,250,4
7793,2,1.5,300,-16
13112,4,0.5,245,-4
118,1,0.5,275,6
5122,2,0.5,270,18
2194,1,1.0,255,0
13287,4,0.5,145,10
12769,4,0.5,155,-18
12457,4,0.5,220,-12
15234,4,1.5,130,-2
15311,4,1.5,190,-16
12319,4,0.5,180,6
12442,4,0.5,145,0
1596,1,1.0,190,-20
13096,4,0.5,165,6
3523,1,1.5,75,12
8232,3,0.5,220,-20
8498,3,0.5,250,8
4096,2,0.5,15,-18
701,1,0.5,265,-4
16180,4,1.5,310,0
6346,2,1.0,215,-12
15740,4,1.5,60,2
13107,4,0.5,220,-14
9465,3,0.5,210,10
15725,4,1.5,310,14
11927,3,1.5,170,20
13756,4,1.0,215,-18
3320,1,1.5,35,-16
12707,4,0.5,170,-16
13094,4,0.5,155,2
12041,3,1.5,90,-4
11424,3,1.5,255,-20
7146,2,1.5,315,-8
11553,3,1.5,250,-14
14693,4,1.0,25,8
14119,4,1.0,80,-6
14449,4,1.0,105,-18
5711,2,1.0,290,20
2577,1,1.0,220,10
1956,1,1.0,40,-14
3921,1,1.5,115,10
10752,3,1.0,145,-20
15539,4,1.5,30,20
275,1,0.5,85,-16
8443,3,0.5,300,-18
6855,2,1.5,160,-2
6338,2,1.0,175,14
15046,4,1.5,165,0
12967,4,0.5,170,0
15440,4,1.5,185,-10
7173,2,1.5,125,4
11426,3,1.5,265,-16
14884,4,1.0,330,12
8110,2,1.5,260,-12
13958,4,1.0,250,8
3739,1,1.5,180,-18
3641,1,1.5,15,-4
4816,2,0.5,40,-6
6905,2,1.5,85,14
2987,1,1.5,320,-10
11203,3,1.5,125,0
9631,3,1.0,65,6
6674,2,1.0,230,14
14673,4,1.0,250,10
2494,1,1.0,130,12
11168,3,1.5,275,14
10550,3,1.0,110,-4
14866,4,1.0,240,18
14705,4,1.0,85,-10
6503,2,1.0,25,8
15473,4,1.5,25,14
9989,3,1.0,230,8
14341,4,1.0,215,18
6853,2,1.5,150,-6
3611,1,1.5,190,20
6515,2,1.0,85,-10
567,1,0.5,245,-20
3433,1,1.5,275,0
12031,3,1.5,40,18
1580,1,1.0,110,-10
12232,3,1.5,70,0
6401,2,1.0,165,14
8172,2,1.5,245,-14
1261,1,0.5,140,-18
227,1,0.5,170,14
7210,2,1.5,310,-6
4749,2,0.5,30,-14
4449,2,0.5,155,16
10208,3,1.0,25,-16
329,1,0.5,30,8
9761,3,1.0,65,14
10123,3,1.0,250,-18
13926,4,1.0,90,-14
10715,3,1.0,285,-10
7479,2,1.5,30,-14
4016,1,1.5,265,-10
10822,3,1.0,170,-6
10590,3,1.0,310,-8
5563,2,1.0,200,18
14268,4,1.0,175,-2
1720,1,1.0,160,18
5315,2,0.5,260,-16
11999,3,1.5,205,-4
14050,4,1.0,60,-18
10930,3,1.5,60,0
13353,4,0.5,150,16
5448,2,0.5,275,-2
6124,2,1.0,80,6
5587,2,1.0,320,-18
1231,1,0.5,315,6
3054,1,1.5,330,-2
10872,3,1.0,95,10
5449,2,0.5,280,0
6974,2,1.5,105,-16
4490,2,0.5,35,14
15693,4,1.5,150,-8
11062,3,1.5,70,12
5562,2,1.0,195,16
203,1,0.5,50,8
6111,2,1.0,15,-20
4238,2,0.5,75,14
1471,1,1.0,215,-18
6178,2,1.0,25,-12
7856,2,1.5,290,-16
12236,3,1.5,90,8
3046,1,1.5,290,-18
11378,3,1.5,25,14
11193,3,1.5,75,-20
568,1,0.5,250,-18
5703,2,1.0,250,4
5577,2,1.0,270,4
4777,2,0.5,170,0
1966,1,1.0,90,6
3476,1,1.5,165,2
4342,2,0.5,270,12
6094,2,1.0,255,-12
1043,1,0.5,25,8
6881,2,1.5,290,8
4346,2,0.5,290,20
13055,4,0.5,285,8
2873,1,1.5,75,14
14585,4,1.0,135,2
4205,2,0.5,235,-10
11921,3,1.5,140,8
12288,4,0.5,25,-14
5320,2,0.5,285,-6
3469,1,1.5,130,-12
9045,3,0.5,60,10
15644,4,1.5,230,20
2019,1,1.0,30,-14
11981,3,1.5,115,2
9687,3,1.0,20,-8
7454,2,1.5,230,20
2992,1,1.5,20,0
3000,1,1.5,60,16
7554,2,1.5,80,10
2741,1,1.5,65,2
5391,2,0.5,315,10
10327,3,1.0,295,12
11304,3,1.5,305,-8
49,1,0.5,255,-6
10242,3,1.0,195,10
16340,4,1.5,135,-16
6493,2,1.0,300,-12
1904,1,1.0,105,8
8132,2,1.5,45,-10
14722,4,1.0,170,-18
16330,4,1.5,85,6
8852,3,0.5,70,2
5677,2,1.0,120,-6
12145,3,1.5,285,-6
6190,2,1.0,85,12
12592,4,0.5,245,6
5172,2,0.5,195,-8
12879,4,0.5,55,-8
1801,1,1.0,240,12
1772,1,1.0,95,-4
12173,3,1.5,100,8
8276,3,0.5,115,-16
15738,4,1.5,50,-2
10544,3,1.0,80,-16
12928,4,0.5,300,6
15092,4,1.5,70,8
917,1,0.5,45,8
9649,3,1.0,155,0
6784,2,1.0,130,-18
14423,4,1.0,300,14
5495,2,1.0,185,8
10025,3,1.0,85,-4
6883,2,1.5,300,12
913,1,0.5,25,0
13609,4,0.5,130,-18
8359,3,0.5,205,-18
8163,2,1.5,200,10
15483,4,1.5,75,-8
12575,4,0.5,160,14
13192,4,0.5,320,-12
15223,4,1.5,75,18
2615,1,1.0,85,2
566,1,0.5,240,20
9099,3,0.5,330,-8
6435,2,1.0,10,-2
12785,4,0.5,235,14
13126,4,0.5,315,-18
6105,2,1.0,310,10
10122,3,1.0,245,-20
10555,3,1.0,135,6
8064,2,1.5,30,-20
3453,1,1.5,50,-2
7407,2,1.5,320,10
15673,4,1.5,50,-6
13673,4,1.0,125,-16
14577,4,1.0,95,-14
14612,4,1.0,270,14
13164,4,0.5,180,16
8176,2,1.5,265,-6
16292,4,1.5,220,14
11103,3,1.5,275,10
251,1,0.5,290,20
6227,2,1.0,270,2
5321,2,0.5,290,-4
13285,4,0.5,135,6
7765,2,1.5,160,12
7026,2,1.5,40,4
12,1,0.5,70,4
4807,2,0.5,320,18
10879,3,1.0,130,-18
142,1,0.5,70,12
8737,3,0.5,145,-18
8797,3,0.5,120,18
7764,2,1.5,155,10
16172,4,1.5,270,-16
14830,4,1.0,60,-12
15506,4,1.5,190,-4
10682,3,1.0,120,8
14825,4,1.0,35,20
756,1,0.5,215,-20
881,1,0.5,190,20
9464,3,0.5,205,8
10840,3,1.0,260,-12
3660,1,1.5,110,-8
4387,2,0.5,170,18
3516,1,1.5,40,-2
10623,3,1.0,150,16
647,1,0.5,320,14
1245,1,0.5,60,-8
4129,2,0.5,180,6
7340,2,1.5,310,2
2185,1,1.0,210,-18
14270,4,1.0,185,2
4092,1,1.5,320,16
9156,3,0.5,290,-20
13346,4,0.5,115,2
5168,2,0.5,175,-16
8879,3,0.5,205,14
8452,3,0.5,20,0
83,1,0.5,100,20
9345,3,0.5,260,-20
16313,4,1.5,325,14
11134,3,1.5,105,-12
15249,4,1.5,205,-14
9327,3,0.5,170,-14
67,1,0.5,20,-12
2356,1,1.0,90,-12
13122,4,0.5,295,16
14028,4,1.0,275,-20
8051,2,1.5,290,-4
11708,3,1.5,50,2
5721,2,1.0,15,-2
12097,3,1.5,45,-18
8528,3,0.5,75,-16
5606,2,1.0,90,20
12955,4,0.5,110,18
8190,3,0.5,10,-20
15013,4,1.0,325,18
12773,4,0.5,175,-10
1876,1,1.0,290,-6
13597,4,0.5,70,0
6778,2,1.0,100,12
16093,4,1.5,200,-6
1508,1,1.0,75,14
9106,3,0.5,40,6
16201,4,1.5,90,0
1055,1,0.5,85,-10
1107,1,0.5,20,10
4444,2,0.5,130,6
12483,4,0.5,25,-2
4648,2,0.5,175,-6
7844,2,1.5,230,2
3161,1,1.5,215,2
2721,1,1.0,290,4
13993,4,1.0,100,-6
15117,4,1.5,195,16
11145,3,1.5,160,10
10240,3,1.0,185,6
136,1,0.5,40,0
4185,2,0.5,135,-8
10250,3,1.0,235,-16
8824,3,0.5,255,-12
3536,1,1.5,140,-4
12696,4,0.5,115,4
3659,1,1.5,105,-10
